Experiment,F1_Mean,F1_Std,AUC_Mean
Architecture: EfficientNetV2-S-mammo,0.673497519735729,0.0283510814744927,0.8398972242807494
Architecture: Hybrid_MaxViT,0.5819231134901431,0.0931378153269847,0.7905040314734404
ViT_Swin_Tiny,0.7069893272974827,0.0183346729950735,0.8746196085902744
ViT_Swin_Tiny + ROI + Focal + SWA,0.6987451776007977,0.0300238164484255,0.8657158087730886
Baseline (ConvNeXt + CE),0.7148717108114764,0.0052796306690783,0.879862296912316
+ ROI Cropping,0.7253552283319202,0.0237901561595528,0.8847884551401142
+ Focal Loss,0.714753785411811,0.0113163803429003,0.8775690091968682
Architecture: EfficientNetV2-S + ROI + Focal,0.6701669364984454,0.0092263723652277,0.8481947035593299
Architecture: Hybrid_MaxViT + ROI + Focal,0.6702092171355243,0.0115134223397319,0.8438780785627401
Architecture: ViT_Swin_Tiny + ROI + Focal,0.712286761236414,0.0240662322640307,0.8742672761130574
Final (ROI+Focal+SWA),0.9248216580904116,0.0151626393757354,0.985312068075412
