Experiment,F1_Mean,F1_Std,AUC_Mean
Architecture: Hybrid_MaxViT,0.7887003926212908,0.0064574949833587,0.915993114263022
ViT_Swin_Tiny,0.7947476369783563,0.0154598847636437,0.9163034742838938
ViT_Swin_Tiny_SWA,0.7018600290857276,0.0153022038395561,0.8873919508917678
Final (ROI+Focal+SWA),0.7977216959682841,0.0107855748163879,0.920105381066419
Baseline (ConvNeXt + CE),0.7909406512776364,0.0121900172204269,0.9108650351024192
+ ROI Cropping,0.8034808706655449,0.0023298837102891,0.9142159114405232
+ Focal Loss,0.7904835908868696,0.0166101920239379,0.9101959296739706
Architecture: Hybrid_MaxViT + ROI + Focal,0.7936112494715225,0.0149380607178257,0.9154759005445032
ViT_Swin_Tiny + ROI + Focal,0.792140520050518,0.008240714824215,0.9196853426825736
Architecture: EfficientNetV2-S + ROI + Focal,0.7606082592750227,0.0106480671727016,0.9004898235499624
Architecture: EfficientNetV2-S,0.7570901829605966,0.0136319087360068,0.8937148081548143
