Exp 1,Exp 2,Cohen's d
MIT-B3 Adam,MIT-B3 Adam Tversky,0.0818
MIT-B3 Adam,MIT-B3 Adam 0.3 BCE,-0.8493
MIT-B3 Adam,MIT-B3 Adam Focal,-0.6284
MIT-B3 Adam,MIT-B3 Adam 0.2 BCE,-0.5788
MIT-B3 Adam,MIT-B3 Aggressive,0.3106
MIT-B3 Adam,MIT-B3 224,-0.7519
MIT-B3 Adam,Resnet 224,0.4079
MIT-B3 Adam,Resnet 1024,-0.0129
MIT-B3 Adam,Resnet Aggressive,0.475
MIT-B3 Adam,Resnet Unet,0.2603
MIT-B3 Adam,MIT-B3 Adam Simple Baseline,-1.0114
MIT-B3 Adam,ResNet Adam Simple Baseline,-0.2632
MIT-B3 Adam,ResNet Adam Simple 0.3 BCE,0.5696
MIT-B3 Adam,Resnet AdamW Simple Tversky,-0.0503
MIT-B3 Adam,ResNet Adam Simple 0.2 BCE,0.2767
MIT-B3 Adam,ResNet Adam Simple Focal,-0.1841
MIT-B3 Adam,Resnet Adam Baseline,-0.3829
MIT-B3 Adam Tversky,MIT-B3 Adam 0.3 BCE,-0.5965
MIT-B3 Adam Tversky,MIT-B3 Adam Focal,-0.8295
MIT-B3 Adam Tversky,MIT-B3 Adam 0.2 BCE,-1.0268
MIT-B3 Adam Tversky,MIT-B3 Aggressive,0.1945
MIT-B3 Adam Tversky,MIT-B3 224,-0.3966
MIT-B3 Adam Tversky,Resnet 224,0.2316
MIT-B3 Adam Tversky,Resnet 1024,-0.1336
MIT-B3 Adam Tversky,Resnet Aggressive,0.3879
MIT-B3 Adam Tversky,Resnet Unet,0.0573
MIT-B3 Adam Tversky,MIT-B3 Adam Simple Baseline,-1.1984
MIT-B3 Adam Tversky,ResNet Adam Simple Baseline,-0.3679
MIT-B3 Adam Tversky,ResNet Adam Simple 0.3 BCE,0.2346
MIT-B3 Adam Tversky,Resnet AdamW Simple Tversky,-0.1808
