Experiment,Dice_Mean,Dice_Std,Precision_Mean,Recall_Mean,Convergence_Epochs_Mean,Precision_Std,Recall_Std,HD95_Mean,HD95_Std
MIT-B3 224,0.7307665367093142,0.0579606031100596,0.7273706599676901,0.8592025988070908,29.4,0.0711835596632084,0.04389554426761722,136.96771087646485,7.8958376355696025
MIT-B3 Adam,0.6965524837336386,0.0476816889113201,0.7087826845438616,0.8308113590615935,27.6,0.06182222461869718,0.029117788078041523,38.48463821411133,11.475106938372752
MIT-B3 Adam 0.2 BCE,0.746474352743143,0.0542658903166387,0.7404595604230447,0.8589096856705197,26.6,0.08238518582141865,0.028485711881513262,42.83053207397461,10.432312376083228
MIT-B3 Adam 0.3 BCE,0.7411469992088736,0.0366527453388545,0.7330851358222716,0.8615167768058207,34.4,0.039790590669955786,0.024068845692401718,26.443179321289062,5.4268714182047315
MIT-B3 Adam Focal,0.7540748538266311,0.0357466516586309,0.7712423184696957,0.846220035547862,27.0,0.04045697540072902,0.01593648026686096,37.081014251708986,12.45749404794424
MIT-B3 Adam Simple 0.2 BCE,0.7499972804838815,0.0274483971533485,0.7363881721831858,0.87079326465013,43.4,0.040392356049024525,0.020337140831898956,46.37565879821777,14.143924497196815
MIT-B3 Adam Simple 0.3 BCE,0.7406478517418164,0.0232991023018075,0.7109341586459643,0.8847909896751871,40.0,0.028847026035343993,0.01987900992587277,52.34304275512695,10.297573448111056
MIT-B3 Adam Simple Baseline,0.763735563171706,0.0202542884208448,0.799441159341324,0.8262905040707373,47.0,0.015649806557663914,0.033190616751470434,47.63376159667969,7.773669553460579
MIT-B3 Adam Simple Focal,0.7733435886273251,0.0253529975690318,0.8053466763006956,0.8307922747516743,40.0,0.03002071075141192,0.024812563123658378,41.28352165222168,13.895919926514733
MIT-B3 Adam Simple Tversky,0.7595024374447777,0.0236894779428359,0.7426752035358587,0.8710838141456602,41.8,0.03248803921701968,0.020566168945103307,52.34941177368164,14.248960443827213
MIT-B3 Adam Tversky,0.6866149369928787,0.0757544796381133,0.6700350555616923,0.8708680379608325,30.2,0.11547746348498657,0.043476679327212484,59.66893463134765,20.382190048297186
MIT-B3 Aggressive,0.6736027725721475,0.0339419633443363,0.639895408974257,0.8797303038234269,25.4,0.04287759624071759,0.021988659929998558,63.84458541870117,17.532739545728674
ResNet Adam 0.2 BCE,0.7496517929588714,0.0319970873646145,0.767528797070462,0.837473129272289,33.8,0.04181828521703947,0.02138956186178824,35.26816520690918,8.236973009149223
ResNet Adam 0.3 BCE,0.6930796759604327,0.0599729359095946,0.6653333820332205,0.8638195296117968,25.6,0.08287368500802182,0.03923484630018734,53.47627944946289,15.748393481885769
ResNet Adam Focal,0.7376341442459518,0.0124836380028163,0.8272585402032432,0.777753238984992,32.4,0.03129631041596617,0.017749599407173088,42.17433853149414,11.659249983741898
ResNet Adam Simple 0.2 BCE,0.6736195805063002,0.0343795742990456,0.6425725590170307,0.8667958383881536,51.8,0.04963303052978499,0.022256188046336844,58.91596450805664,11.203054533761025
ResNet Adam Simple 0.3 BCE,0.6649449573729704,0.0474487939484965,0.630714480759973,0.8558434582695881,52.4,0.06265972634540566,0.02403361813379861,50.2426155090332,15.31947037350326
ResNet Adam Simple Baseline,0.7128938436777623,0.0284309148007884,0.7824760119823946,0.7725420833190728,50.6,0.027578199054737542,0.028913566701481392,32.66231231689453,7.695715865172921
ResNet Adam Simple Focal,0.7110618961248271,0.0365031762157961,0.7655504489398066,0.7886265245997418,55.2,0.07692826708303203,0.04576444854784582,43.78072891235352,8.773035303862251
Resnet 1024,0.6973692035730327,0.0438783410665079,0.7346065221011665,0.8077362151970844,32.8,0.074605067827301,0.027230654316491718,92.21372985839844,12.624856299450617
Resnet 224,0.6640000666324443,0.0521226793237052,0.6411694471306145,0.8657118211198462,24.2,0.08556939883260452,0.03474206767280285,197.52463989257814,25.77744000391036
Resnet Adam Baseline,0.7354372901854337,0.0507382187473001,0.7986434878675117,0.7853990283929835,29.8,0.053803902712319066,0.027390428431429574,35.98824195861816,12.614849897476613
Resnet AdamW Simple Tversky,0.6997913348819664,0.0201011169987581,0.6974704248243512,0.8336133161343104,52.0,0.029137726243942282,0.021006345475785938,42.79861755371094,7.313846842258592
Resnet Aggressive,0.6446779521548176,0.0881407221013516,0.6159766340504372,0.8742613901305285,40.0,0.12870632923032385,0.03929827173752536,83.93424224853516,32.023161979558715
Resnet No Augmentation,0.5808901601403507,0.0566468067073501,0.6694132908637856,0.6983802480416896,41.0,0.052106040452916155,0.053283773878511485,34.77180194854736,21.989406320904983
Resnet Tversky,0.7090640325185771,0.0762627070749651,0.7404612324193941,0.8235472125092957,25.2,0.10718890325869725,0.02184410570859157,64.3929946899414,8.998941021647157
Resnet Unet,0.6789189918595744,0.0639366278796162,0.667362952435427,0.8565631296253662,27.6,0.1121347873126238,0.044099472129836954,48.36220245361328,11.137127287100423
