Experiment,HD95s
ResNet Adam Simple Baseline,"[31.171823501586914, 30.321823120117188, 53.502662658691406, 35.454376220703125, 28.11390495300293]"
ResNet Adam Simple 0.3 BCE,"[26.714468002319336, 29.170608520507812, 60.703460693359375, 38.868682861328125, 56.845726013183594]"
Resnet AdamW Simple Tversky,"[27.223825454711914, 33.304805755615234, 61.920684814453125, 47.09739303588867, 31.7133731842041]"
ResNet Adam Simple 0.2 BCE,"[29.87586784362793, 45.935630798339844, 44.692447662353516, 39.69932174682617, 31.453453063964844]"
ResNet Adam Simple Focal,"[27.59344482421875, 29.06645393371582, 56.31201171875, 43.6470832824707, 27.2196044921875]"
Resnet Adam Baseline,"[21.54389190673828, 24.756494522094727, 46.64983367919922, 17.104469299316406, 33.08595275878906]"
ResNet Adam 0.3 BCE,"[26.786659240722656, 54.047515869140625, 34.584686279296875, 44.266090393066406, 24.90546417236328]"
ResNet Adam 0.2 BCE,"[23.74651336669922, 26.04019546508789, 46.232181549072266, 24.767955780029297, 23.921932220458984]"
Resnet Tversky,"[39.248477935791016, 31.38627052307129, 45.740482330322266, 37.60905456542969, 41.40635681152344]"
ResNet Adam Focal,"[21.751285552978516, 46.09859848022461, 37.689064025878906, 34.45550537109375, 20.618196487426758]"
Resnet 224,"[182.6107940673828, 189.7034912109375, 110.23761749267578, 146.11279296875, 211.17440795898438]"
Resnet 1024,"[126.09925842285156, 101.29156494140625, 65.62894439697266, 94.38982391357422, 81.254150390625]"
Resnet Aggressive,"[70.23262023925781, 74.88311767578125, 50.938812255859375, 27.118511199951172, 47.56956481933594]"
Resnet Unet,"[36.246299743652344, 61.658119201660156, 36.13330841064453, 26.334108352661133, 47.09174346923828]"
MIT-B3 Adam Simple Baseline,"[30.79166030883789, 45.6069450378418, 82.62995147705078, 30.328853607177734, 22.62131118774414]"
MIT-B3 Adam Simple Tversky,"[27.348663330078125, 24.72776985168457, 70.0943832397461, 24.653932571411133, 42.96276092529297]"
MIT-B3 Adam Simple 0.2 BCE,"[28.192201614379883, 24.353477478027344, 63.74013900756836, 21.57456398010254, 40.19206237792969]"
MIT-B3 Adam Simple Focal,"[26.748992919921875, 24.09717559814453, 73.54191589355469, 28.575965881347656, 31.417308807373047]"
MIT-B3 Adam Simple 0.3 BCE,"[27.31118392944336, 43.8263053894043, 73.50181579589844, 34.20657730102539, 40.064170837402344]"
MIT-B3 Adam,"[21.79900360107422, 31.4130916595459, 76.63957214355469, 47.46929931640625, 28.95195770263672]"
MIT-B3 Adam Tversky,"[64.4065933227539, 30.45699119567871, 78.5323486328125, 23.39859390258789, 37.91072082519531]"
MIT-B3 Adam 0.3 BCE,"[17.039390563964844, 39.60638427734375, 56.0596809387207, 20.622791290283203, 29.109375]"
MIT-B3 Adam Focal,"[25.280431747436523, 26.126272201538086, 74.87482452392578, 22.09718894958496, 31.3475341796875]"
MIT-B3 Adam 0.2 BCE,"[31.102012634277344, 35.70426940917969, 66.02349853515625, 20.358726501464844, 36.45491409301758]"
MIT-B3 Aggressive,"[34.928855895996094, 48.994083404541016, 67.2184829711914, 39.22486114501953, 66.49765014648438]"
MIT-B3 224,"[102.30241394042969, 150.62908935546875, 146.58169555664062, 144.6825714111328, 155.4565887451172]"
