Experiment,HD95s
Resnet No Augmentation,"[33.90125274658203, 25.544883728027344, 76.9652328491211, 22.990846633911133, 14.456793785095215]"
ResNet Adam Simple Baseline,"[30.408405303955078, 26.232097625732422, 25.424835205078125, 46.562923431396484, 34.68330001831055]"
ResNet Adam Simple 0.3 BCE,"[39.73981475830078, 35.71961212158203, 58.10803985595703, 40.890987396240234, 76.75462341308594]"
Resnet AdamW Simple Tversky,"[33.919246673583984, 38.75048828125, 55.92155075073242, 42.719974517822266, 42.681827545166016]"
ResNet Adam Simple 0.2 BCE,"[71.03652954101562, 72.45561981201172, 50.281551361083984, 56.64083480834961, 44.165287017822266]"
ResNet Adam Simple Focal,"[44.79840087890625, 30.39224624633789, 57.83369827270508, 44.61935806274414, 41.25994110107422]"
Resnet Adam Baseline,"[27.94342803955078, 23.00666618347168, 58.55064010620117, 30.111892700195312, 40.328582763671875]"
ResNet Adam 0.3 BCE,"[40.2991943359375, 81.66368103027344, 49.517303466796875, 57.8287353515625, 38.07248306274414]"
ResNet Adam 0.2 BCE,"[26.141616821289062, 30.042890548706055, 50.20926284790039, 33.35624313354492, 36.59081268310547]"
Resnet Tversky,"[76.75691223144531, 49.100799560546875, 64.55213165283203, 68.45409393310547, 63.101036071777344]"
ResNet Adam Focal,"[25.80954360961914, 58.503360748291016, 51.90186309814453, 35.9761848449707, 38.68074035644531]"
Resnet 224,"[195.34014892578125, 235.01510620117188, 157.375732421875, 211.9547119140625, 187.9375]"
Resnet 1024,"[82.62374877929688, 105.3475341796875, 88.75100708007812, 108.30508422851562, 76.04127502441406]"
Resnet Aggressive,"[118.7271957397461, 123.61129760742188, 45.7142219543457, 76.41102600097656, 55.20746994018555]"
Resnet Unet,"[42.45668411254883, 63.39201354980469, 45.667381286621094, 32.273529052734375, 58.02140426635742]"
MIT-B3 Adam Simple Baseline,"[54.16163635253906, 51.28707504272461, 55.130653381347656, 42.90137481689453, 34.68806838989258]"
MIT-B3 Adam Simple Tversky,"[58.217952728271484, 34.60643005371094, 57.2712287902832, 38.25419235229492, 73.39725494384766]"
MIT-B3 Adam Simple 0.2 BCE,"[67.23953247070312, 30.244779586791992, 46.150611877441406, 31.98630142211914, 56.2570686340332]"
MIT-B3 Adam Simple Focal,"[61.90774917602539, 21.531373977661133, 50.349334716796875, 33.280845642089844, 39.348304748535156]"
MIT-B3 Adam Simple 0.3 BCE,"[42.82011032104492, 69.22271728515625, 58.95746612548828, 42.78422164916992, 47.93069839477539]"
MIT-B3 Adam,"[27.771324157714844, 30.978504180908203, 37.542213439941406, 60.369972229003906, 35.76117706298828]"
MIT-B3 Adam Tversky,"[97.91240692138672, 50.142608642578125, 62.418212890625, 47.19362258911133, 40.67782211303711]"
MIT-B3 Adam 0.3 BCE,"[19.899612426757812, 22.891902923583984, 29.604040145874023, 24.534589767456055, 35.28575134277344]"
MIT-B3 Adam Focal,"[24.141586303710938, 41.56231689453125, 58.862979888916016, 26.868141174316406, 33.97004699707031]"
MIT-B3 Adam 0.2 BCE,"[50.288848876953125, 34.364410400390625, 47.886322021484375, 26.966201782226562, 54.64687728881836]"
MIT-B3 Aggressive,"[44.83351516723633, 85.23944091796875, 50.25840759277344, 54.1080322265625, 84.78353118896484]"
MIT-B3 224,"[125.70899200439453, 130.57418823242188, 144.935546875, 145.91510009765625, 137.70472717285156]"
