Exp 1,Exp 2,Hedge's g
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam Simple 0.2 BCE,-0.2967
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam Simple Focal,-1.0849
MIT-B3 Adam Simple 0.3 BCE,ResNet Adam 0.3 BCE,0.8447
MIT-B3 Adam Simple 0.3 BCE,ResNet Adam 0.2 BCE,-0.2599
MIT-B3 Adam Simple 0.3 BCE,Resnet Tversky,0.4525
MIT-B3 Adam Simple 0.3 BCE,ResNet Adam Focal,0.1303
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam Simple Tversky,-0.6483
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam,0.9493
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam Tversky,0.7789
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam 0.3 BCE,-0.0131
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam Focal,-0.3595
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam 0.2 BCE,-0.1127
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Aggressive,1.8606
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 224,0.1807
MIT-B3 Adam Simple 0.3 BCE,Resnet 224,1.5338
MIT-B3 Adam Simple 0.3 BCE,Resnet 1024,0.9953
MIT-B3 Adam Simple 0.3 BCE,Resnet Aggressive,1.2027
MIT-B3 Adam Simple 0.3 BCE,Resnet Unet,1.0364
MIT-B3 Adam Simple 0.3 BCE,MIT-B3 Adam Simple Baseline,-0.8544
MIT-B3 Adam Simple 0.3 BCE,ResNet Adam Simple Baseline,0.8626
MIT-B3 Adam Simple 0.3 BCE,ResNet Adam Simple 0.3 BCE,1.6362
MIT-B3 Adam Simple 0.3 BCE,Resnet AdamW Simple Tversky,1.5169
MIT-B3 Adam Simple 0.3 BCE,ResNet Adam Simple 0.2 BCE,1.8439
MIT-B3 Adam Simple 0.3 BCE,ResNet Adam Simple Focal,0.7806
MIT-B3 Adam Simple 0.3 BCE,Resnet Adam Baseline,0.1066
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam Simple Focal,-0.7138
MIT-B3 Adam Simple 0.2 BCE,ResNet Adam 0.3 BCE,0.9859
MIT-B3 Adam Simple 0.2 BCE,ResNet Adam 0.2 BCE,0.0094
MIT-B3 Adam Simple 0.2 BCE,Resnet Tversky,0.577
MIT-B3 Adam Simple 0.2 BCE,ResNet Adam Focal,0.4684
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam Simple Tversky,-0.2995
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam,1.1098
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam Tversky,0.8987
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam 0.3 BCE,0.2208
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam Focal,-0.1034
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam 0.2 BCE,0.0662
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Aggressive,1.9995
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 224,0.3426
MIT-B3 Adam Simple 0.2 BCE,Resnet 224,1.6679
MIT-B3 Adam Simple 0.2 BCE,Resnet 1024,1.1617
MIT-B3 Adam Simple 0.2 BCE,Resnet Aggressive,1.3034
MIT-B3 Adam Simple 0.2 BCE,Resnet Unet,1.1671
MIT-B3 Adam Simple 0.2 BCE,MIT-B3 Adam Simple Baseline,-0.4601
MIT-B3 Adam Simple 0.2 BCE,ResNet Adam Simple Baseline,1.0727
MIT-B3 Adam Simple 0.2 BCE,ResNet Adam Simple 0.3 BCE,1.7727
MIT-B3 Adam Simple 0.2 BCE,Resnet AdamW Simple Tversky,1.686
MIT-B3 Adam Simple 0.2 BCE,ResNet Adam Simple 0.2 BCE,1.9835
MIT-B3 Adam Simple 0.2 BCE,ResNet Adam Simple Focal,0.974
MIT-B3 Adam Simple 0.2 BCE,Resnet Adam Baseline,0.2884
MIT-B3 Adam Simple Focal,ResNet Adam 0.3 BCE,1.4084
MIT-B3 Adam Simple Focal,ResNet Adam 0.2 BCE,0.663
MIT-B3 Adam Simple Focal,Resnet Tversky,0.9138
MIT-B3 Adam Simple Focal,ResNet Adam Focal,1.4437
MIT-B3 Adam Simple Focal,MIT-B3 Adam Simple Tversky,0.4557
MIT-B3 Adam Simple Focal,MIT-B3 Adam,1.6246
MIT-B3 Adam Simple Focal,MIT-B3 Adam Tversky,1.2404
MIT-B3 Adam Simple Focal,MIT-B3 Adam 0.3 BCE,0.8254
MIT-B3 Adam Simple Focal,MIT-B3 Adam Focal,0.5023
MIT-B3 Adam Simple Focal,MIT-B3 Adam 0.2 BCE,0.5125
MIT-B3 Adam Simple Focal,MIT-B3 Aggressive,2.6898
MIT-B3 Adam Simple Focal,MIT-B3 224,0.7689
MIT-B3 Adam Simple Focal,Resnet 224,2.1553
MIT-B3 Adam Simple Focal,Resnet 1024,1.7128
MIT-B3 Adam Simple Focal,Resnet Aggressive,1.6028
MIT-B3 Adam Simple Focal,Resnet Unet,1.5685
MIT-B3 Adam Simple Focal,MIT-B3 Adam Simple Baseline,0.3383
MIT-B3 Adam Simple Focal,ResNet Adam Simple Baseline,1.813
MIT-B3 Adam Simple Focal,ResNet Adam Simple 0.3 BCE,2.3021
MIT-B3 Adam Simple Focal,Resnet AdamW Simple Tversky,2.5973
MIT-B3 Adam Simple Focal,ResNet Adam Simple 0.2 BCE,2.6672
MIT-B3 Adam Simple Focal,ResNet Adam Simple Focal,1.6011
MIT-B3 Adam Simple Focal,Resnet Adam Baseline,0.7635
ResNet Adam 0.3 BCE,ResNet Adam 0.2 BCE,-0.9508
ResNet Adam 0.3 BCE,Resnet Tversky,-0.1882
ResNet Adam 0.3 BCE,ResNet Adam Focal,-0.831
ResNet Adam 0.3 BCE,MIT-B3 Adam Simple Tversky,-1.1769
ResNet Adam 0.3 BCE,MIT-B3 Adam,-0.0518
ResNet Adam 0.3 BCE,MIT-B3 Adam Tversky,0.0764
ResNet Adam 0.3 BCE,MIT-B3 Adam 0.3 BCE,-0.7813
ResNet Adam 0.3 BCE,MIT-B3 Adam Focal,-0.9981
ResNet Adam 0.3 BCE,MIT-B3 Adam 0.2 BCE,-0.7542
ResNet Adam 0.3 BCE,MIT-B3 Aggressive,0.3229
ResNet Adam 0.3 BCE,MIT-B3 224,-0.5163
ResNet Adam 0.3 BCE,Resnet 224,0.4181
ResNet Adam 0.3 BCE,Resnet 1024,-0.066
ResNet Adam 0.3 BCE,Resnet Aggressive,0.5187
ResNet Adam 0.3 BCE,Resnet Unet,0.1846
ResNet Adam 0.3 BCE,MIT-B3 Adam Simple Baseline,-1.2753
ResNet Adam 0.3 BCE,ResNet Adam Simple Baseline,-0.3411
ResNet Adam 0.3 BCE,ResNet Adam Simple 0.3 BCE,0.4203
ResNet Adam 0.3 BCE,Resnet AdamW Simple Tversky,-0.1212
ResNet Adam 0.3 BCE,ResNet Adam Simple 0.2 BCE,0.3216
ResNet Adam 0.3 BCE,ResNet Adam Simple Focal,-0.2926
ResNet Adam 0.3 BCE,Resnet Adam Baseline,-0.616
ResNet Adam 0.2 BCE,Resnet Tversky,0.5607
ResNet Adam 0.2 BCE,ResNet Adam Focal,0.3998
ResNet Adam 0.2 BCE,MIT-B3 Adam Simple Tversky,-0.2827
ResNet Adam 0.2 BCE,MIT-B3 Adam,1.0565
ResNet Adam 0.2 BCE,MIT-B3 Adam Tversky,0.8758
ResNet Adam 0.2 BCE,MIT-B3 Adam 0.3 BCE,0.1997
ResNet Adam 0.2 BCE,MIT-B3 Adam Focal,-0.1053
ResNet Adam 0.2 BCE,MIT-B3 Adam 0.2 BCE,0.0576
ResNet Adam 0.2 BCE,MIT-B3 Aggressive,1.8627
ResNet Adam 0.2 BCE,MIT-B3 224,0.3259
ResNet Adam 0.2 BCE,Resnet 224,1.6
ResNet Adam 0.2 BCE,Resnet 1024,1.0999
ResNet Adam 0.2 BCE,Resnet Aggressive,1.279
ResNet Adam 0.2 BCE,Resnet Unet,1.1303
ResNet Adam 0.2 BCE,MIT-B3 Adam Simple Baseline,-0.4249
ResNet Adam 0.2 BCE,ResNet Adam Simple Baseline,0.9811
ResNet Adam 0.2 BCE,ResNet Adam Simple 0.3 BCE,1.691
ResNet Adam 0.2 BCE,Resnet AdamW Simple Tversky,1.5075
